ID,Название,Ключи,Данные
69,Потерянное,u ,828894435 3108078951 3072492717
70,игрока:,"CEn, j5, b4x",621587622 2981638040 2768149738
71,Всего бесплатно,"<)\, J), 'U",3093001970 3490861300 144651405
72,Полученные шансы:,A/`O,2910293567 870363008 1542802742
73,Награды:,"``, ?*",2021648012 434869136 3173175272
74,Общий дополнительный,"U$N, `(",272000647 3154418160 3776856797
75,Взятый:,11,1081568075 4083729633 2495644472
76,Общее использование:,"v1, l~, Qp",3993592095 3658852662 2119041836
77,Шансы:,,501031306 2319241218 1553160212
78,Недавние,ZH,3543526606 2772076502 383049296
79,Оставшиеся шансы:,S>,3442313733 3757678809 2634294913
80,Оставшиеся свободные шансы:,"X1, ?5I",2435982636 3282870891 3152426873
81,Счастливчик,,1490247148 3725733833 3431532145
82,Вы выбрали {0} как счастливчика,-%:b,4165293907 3258678416 2036817689
83,получил {1} того же,"IP, I}, N$",2811006782 3720577487 287635098
84,"подряд, давая случайную","x), -], ]-t",3911494195 2164851422 4258779975
85,В настоящее время забанен,"5+, q,",880736784 279974300 1459039414
86,Использовал,,2319645223 3189767057 4086996213
87,Вы отключили появление {0}!,?c,3478183817 1369258743 593031345
88,Чаша,"vz, 8s",1189525970 1979944428 3641594232
89,заявлено!,,2917877998 475814342 3669649304
90,доход достиг максимума. Автоматически получено все,YyM,4027039245 2876852839 3009126761
91,Подсказка,"d?, %{",3491280612 173989740 1901375661
92,Получено таинственное сокровище),"H}, :g",1220128433 3340798134 601463616
93,Таинственная,"'|, R`, Ta",3469009242 454523796 4137565072
94,найден: {1},,4060899399 78752132 1337423039
95,Найдите {0} загадочного,"!],x""Lyg, hU",3716801809 730795328 353799166
96,найти сокровище!,"-&, )H",3501779445 1483901296 3360662796
97,Выбрано,i~,1749994244 1264838437 594308011
98,Вы выбрали {0},CO&,2600137694 3117788915 3248575761
99,Использование:,"fs, h>I",4219398126 399349881 504459103
100,Цена: {0},"x<, `B",2951392515 3049192540 214916259
101,Получите,,3445749427 547086018 1523862524
102,в {0} раундах,TO,2494747075 1175659252 2982900998
103,Нет назначенного,"l"", i!, n^~",1677814997 3034791214 1335383475
104,Получит,&@,634092324 2311475622 391949793
105,случайно.,"19, L,%mt_, Q'4",1075975123 2015980415 752122036
106,Куплено в этом раунде:,"F4y, {N",3002850250 2670098706 3770813763
107,Эффект сработал в этом раунде,"w0, eO, \a",744600725 1543921027 3699415454
108,В этом раунде:,"LXi, b(W",32961304 659936355 868087202
109,Количество обновлений:,"6?, {f, \!=",2668796220 696287312 1247248666
110,украл {2},"99, rNB, (e",3883228978 3373110791 2162671022
111,пользователя {1}!,,2136800308 277698077 3013193816
112,выбор,=y6=E,1263020774 2953700304 790678205
113,"Вы сделали ставку на {0} и будете получать награды каждый раз, когда они выигрывают битву!","=., R:",1334898582 4060077960 3635047716
114,Назначенная ветка,,1456253359 1681058383 1615731638
115,Вы установили {0} в качестве назначенной ветки!,";>, y3O",1089157850 1455986822 1948004405
116,Вы получили,"x^, \m",2385520501 1889133126 1660637280
117,УВОРОТ,"O$, R$, %a, MPl",689481053 1942683082 3203341283
118,Достигнут максимальный лимит раундов!,cT,3850927893 2867169906 3507844771
119,Макс,"^,",523406153 1362367467 2496291554
120,повысился.,}jT,4247417098 587785058 311960235
121,"Невозможно просмотреть информацию о ветке, отличной от основной ветки других игроков.",02,3522527144 362046082 2168624641
122,Этот игрок исключен.,lZ<,4024572101 3609514571 2490375253
123,УРОВЕНЬ,WM~,2579885977 162181370 1374224330
124,Еще не разблокирован,iF,3670006601 1618495283 3149563551
125,Для разблокировки необходимо получить привилегию в Руководстве по Сезону.,"}SL, !8",1232649694 235496214 2007762120
126,ПРИВИЛЕГИЯ,"u3pm, #s, (3",417141018 790885797 2653305043
127,Жду других игроков,?^,2237200284 1076429906 3824014298
128,ДОЛЯ ДМГ:,"s#w, l@I",3084472720 598820405 3585430194
129,Недостаточное количество предметов. Не удалось обновить!,"+b, m4l, 6F",2580508027 3102547006 994422824
130,Достигнут предел обновления!," 5, ]0",2386993344 27947967 3981770643
131,Выбрать ветку,,3210794464 51106016 3382641034
132,Выбери игрока.,"g8, W , Cj",1376551298 2459111358 2713287788
133,ЯРОСТЬ,"MS, m5*8;",4209666162 3511470434 1944578847
134,текущий бонус к урону составляет,":G, J;, ;:",888339882 4110937326 292208865
135,Бот {0},"$"", jhS",3819118106 2201022157 422575025
136,Начать учебное пособие для новичков?,5r,3268873511 2516755982 419159852
137,Успешно изменено!,"@|, :a",2554160694 464070813 129411017
138,Изучите навык,ffj,3852425198 4007110669 597408731
139,не завершено),)D,3358376229 3402533520 510692149
140,Завершено),oB,1561407530 2485527409 2445234172
141,Улучшите любую ветку навыков до 1 звезды,"[o, r>, AD3G",1284826434 3955161021 3375504248
142,Изучите 1 редкий навык,|#,192591939 4013145071 2037991322
143,неполный),11,3626232245 865820465 638043700
144,Улучшите любой навык до максимума,*<u1O,4098200399 3647344057 84429114
145,Улучшите ветку навыков до 3-звездочного,,3352795097 4187163683 4274913295
146,Улучшите ветку навыков до 3 звезд,"Wj, ,x, ""3, dV",3081037215 2785252398 1970402171
147,Изучите мифический навык,"e`W, IT",1430615571 987051579 2787878309
148,завершено),"=5D, Gr, 9)\1+, v\",2411912384 3542995715 3690297036
149,СИСТЕМА,I{,3706237446 1486527249 2800517393
150,СИСТЕМА],wjvGI,3778238848 124835145 186829372
151,ЧАТ],UF,1141421295 964932884 3746623445
152,ОТЧ,]K,388563647 3889934005 124309123
153,Т О БОЕ],"Vy, ej",615106121 4088891496 3338057272
154,МИР],"dP, `Lc{",2648667663 3211287079 1741384034
155,СОВЕТЫ],"fU, kDs, h`",3948718222 364664911 1419095289
156,УВЕДОМЛЕНИЕ],,2298976412 642886275 4055911868
157,КОМАНДА],"ulz*O, |PQ",3965678867 2347332660 3830593243
158,МИР,"T5, FtzJ",1422047943 105375880 936800580
159,МЕСТНЫЙ,>n,898216685 2392733746 3965553388
160,КОМАНДА,"[s, +S",210577134 3864385118 2388801898
161,БОЕВОЙ,Sp,391750528 41259927 165371293
162,НЕИЗВЕСТНЫЙ,l;',3476840395 1534500443 3451976121
163,Из-за нарушения вами принципов гармоничного общения вы будете лишены возможности говорить до {0}.,nIx,3344542361 170141794 2246695472
164,Вы находитесь в состоянии молчания. На вас пожаловались несколько пользователей!,"w\pz, 1a",3556404267 1161323732 537092525
165,"Максимальный уровень Пути Славы должен достигнуть уровня {0}, прежде чем вы сможете общаться в мире!","V/, v(z, 31",1112503420 982641991 1674195525
166,пожаловались несколько игроков поэтому его лишили возможности говорить!,"2Q, JY, \-, l*$",3549593042 451985485 38595645
167,Вы уже сообщали о этом игроке.,Y=,115442270 3488207754 2829676528
168,Жалоба успешно отправлена. Благодарим вас за вклад в гармоничную среду общения.,,4094595377 1502494372 803776116
169,Вы подтверждаете жалобу:,"1$, Jf, ep6",3627410926 2006171542 402017544
170,Жалоба на высказывание: {1}.,"c?, Fd",2762978496 2651571746 3692602860
171,Мировой чат временно закрыт!,"""*, 0(",1136207494 1055192950 3458004271
172,"Невозможно подключиться, проверьте настройки сети.","X`/v, mn",3266276932 1062594023 471352837
173,ВХОД...,"c`, ]c, 92",3257129149 2254696361 3447243139
174,УСПЕХ,E(',3621315015 737849761 1270286810
175,СООТВЕТСТВОВАТЬ,"1,, v6L~""hF",3312016470 866854991 4211033511
176,ОБУЧЕНИЕ,"RW, Ti",3724145701 2003892664 1886588433
177,Обычная команда,,2907926212 4207508288 3789878293
178,Обычная,">Fv, #f, |P",271374214 3686987344 3968947533
179,Ошибка длины имени.,,1429194305 4090128879 3579244112
180,Имя содержит недопустимые символы.,,298757592 3928824503 1340247284
181,Занято,"ER, Sx, j3",1154054058 3668010446 948179151
182,Неизвестная ошибка,,3954525523 781887593 3222161359
183,"Пожалуйста, настройте заново.","H , -=",2499637821 2605930632 1233785604
184,Через ежедневные награды,"fzvtE, t"", m>.O",1650166205 1916201938 2830942156
185,Из наград Руководства по Сезону,"yt, +ck",2710427818 809467717 1755035546
186,Через подарочный код,"9., ;6",1803010721 907169078 878729767
187,Через карту месяца,"7ze, *Q, z3",3198973570 1092329531 3580396471
188,Через сезонное урегулирование,j]1,1172616863 1145146704 532360114
189,Через магазин,"(jZko, ba",2585600703 2146658236 3830908992
190,Через коллекцию,"82, 0!",2542547526 2380618200 834174763
191,Награда за закрытый бета - тест,"HO, a<",1989743164 2564452603 1481943260
192,"Пожалуйста, разблокируйте [{0}].",tq,260266788 2474616988 1300509277
193,ОСТАЛОСЬ ВРЕМЯ:,,214052938 2209402401 196975690
194,КУПЛЕНО,hZ,3927861262 1993972531 1016270431
195,Получил,#jpE,1747976368 508618488 3893355896
196,Срок действия,"?=, 06V, 5V*",1368409936 2635748641 3148881086
197,дней,":T, RP, -i, 1[",6040001 765289891 2664144994
198,Дневной лимит {0},"Hx, ZG",2953824108 2943050645 3859692356
199,Лимит {0}д {1},"bO, w$",1471234581 1981873983 1082073211
200,Ост. {0}д {1}ч,"=uP, C=*, TI;Ab",2469397531 4066380727 1248780464
201,Ост. {0}ч {1}м,"9~, he, Ji, O.",2612986229 2903140296 352952527
202,Ост. {0}м {1}с,"i., M8, !_W",3843476391 274372608 2441919397
203,СЛУЧАЙНЫЙ ВЫБОР,Vh,2216742125 2148676061 2156835618
204,Случайно получите еще одного героя,"N4, ,+",39292009 334221770 1113222356
205,ОТКРЫТЬ,f/,508265690 2336837482 1089265326
206,В ящике с сокровищами,"2Pb, V/",3561231957 3597009852 2181314942
207,Конвертировать по имеющимся королевским сундукам,"Bu, Py",2687300280 879278887 1211398314
208,Товар недоступен для продажи или был удален,"B[Z, eu=",410369244 185912329 1671460440
209,Сначала разблокируйте соответствующие привилегии,"akq, On, [Q",569028395 2799190442 3767451521
210,Превышен лимит покупки,"-[, d`",3128744182 875083109 1059365801
211,Покупка не удалась,b>A^X,2132668040 660795864 2310911595
212,Установка не удалась,"6|, Jx, 7`",1599747622 2535887392 4256649986
213,Купить что-нибудь в магазине?,E9,4043623864 2294531535 3289733563
214,Получение [{0}]{1},"G#, `2(Z",2539936511 688364618 2361153339
215,"Запрос не удался. Пожалуйста, перезапустите","dv, dk",3573787810 538588790 756451745
216,ЭНЕРГИЯ,"+~[, [J",4107696499 3329003798 2682786399
217,РАНЕНЫЙ,"vW4>u, N\",1863770798 1605679668 3217421934
218,"Сервер на обслуживании. Пожалуйста, повторите попытку позже.","=\_i, ""$",3938792051 1749634539 2316548857
219,"Обнаружена новая версия. Пожалуйста, обновите сначала.","R%, Yf",2576433708 2553084094 1803253412
220,"Запрос сервера не выполнен. Пожалуйста, повторите попытку позже.","0u, x^q",1931534720 2837473118 1933632088
221,"Ошибка входа. Пожалуйста, попробуйте еще раз.","K`, VM",1481302495 1393474743 68940208
222,Ошибка запроса информации!,H),504004687 1573350683 1693838471
223,"Демо - тестирование завершено. Пожалуйста, играйте в официальную версию.","PQ, ba, h""",2825042473 916199019 3627090262
224,Вы заняли номер {0} в последнем матче.,"Ng, %#",2730248325 2670436457 1296974154
225,набрав {0} баллов,"xa, .c, d-",1414245479 3167978488 754620705
226,Командный бонус: {0},(L,2991895451 20514167 1490813179
227,Бонус за серию побед: {0}.,"B>, ~I",437944854 3185507117 3650876858
228,"Прошлый сезон закончился. Перезапустите игру, чтобы войти снова.","@l, Cu, N=D[, $X",165087239 2786280067 1295670160
229,"Недостаточно золота для битвы. Пожалуйста, сначала возьми!","8v, Kp, 7\, v*",1104604004 2828876959 2081919273
230,"Сопоставление не удалось! Пожалуйста, повторите попытку позже.","Gm, Tj, [Y",4286403709 3435813183 3762072687
231,"Сопоставление на сервере, пожалуйста, подождите...",9&,714191013 418979198 2308773350
232,"Не удалось выполнить соответствующий запрос на отмену! Пожалуйста, перезапустите игру и повторите попытку позже.","?"", Y07$E9PT",1534564151 2242338480 2890118782
233,Сопоставление отменено!,"U?@, cC",857803805 2060076029 950794641
234,Подходящего боевого сервера не найдено. Пожалуйста обновите до последней версии!!!,_c,2819595281 4044273484 2649969078
235,"Сопоставление не удалось! Пожалуйста, перезапустите игру и повторите попытку позже.","Z^l, eBg",862665949 202903620 4287794666
236,Соответствующий успех!!!,".og, sPf, Hj?, ][Z",2592486758 1687708791 3028381196
237,Создавать команды можно только в Лобби!!!,"a9, (To",3884908595 1381108690 3173707495
238,Уже в команде. Невозможно создать!!!,"6s, Sk-, . ",2686783140 3938754897 2563093125
239,Невозможно создать команду во время сопоставления.,F`,1076244824 2841433990 2941026724
240,Не удалось создать команду,"@s, a}?, dAq",3488244638 50456757 1434793134
241,Команда [{0}] создана,"}#, Xze",3100462795 3000867588 2644575016
242,Не все участники завершили свои сражения. Невозможно начать сопоставление!,"BE, Kv",547184123 156667014 316482281
243,Ошибка статуса команды!,"YQ, O/, pY",3491831075 3335779357 1190613096
244,Сопоставление отменено...,xo6,4244156955 35998499 334152559
245,Команда расформирована!!!,H{,2447225247 3115723880 915461497
246,"Ошибка ввода информации о команде. Пожалуйста, введите правильный идентификатор команды.",?c,3191654273 3027352675 739978119
247,"Уже в команде. Пожалуйста, покиньте текущую команду, прежде чем присоединяться к новой.","&>+, ;{, M_",3806516158 855498868 4060091435
248,"Соответствует, не может влиться в команду!!!","pW&, GQ",2643166539 4006134697 347271362
249,"Команда, которую вы просили присоединиться, не существует!!!",,3166533845 1509361942 1955750192
250,"Команда, к которой вы обратились, заполнена!!!","p1, l$",3867859249 2155083962 3378247028
251,Ваша версия игры несовместима с этой командой!!!,V>,3407849478 4140083061 1747801949
252,Команда уже в бою!!!,"P<N, pS",2450108705 1397524678 229292331
253,Не удалось присоединиться к команде,"PY, <-J, eu+",3345340022 206516087 2732065976
254,Присоединился к команде [{0}],"#n3%, yi, 6%",1193858091 2631800085 645319736
255,присоединился к команде,,3410654631 3503176525 3895445308
256,В данный момент не в сети,">H, OfL",3991743077 3233345536 3889298655
257,Не удалось покинуть команду,"DSJ, TnGy",1424718123 1691724955 2953044597
258,Покинул команду,"Y-, ~t*",3033487888 1210347999 1901027306
259,покинул команду,,3257883467 2024866223 2378895696
260,Не удалось удалить участника,"Mz, -z.4{gjh",4020436824 3123133795 49783083
261,Удален участник,:u,3561154690 1353994551 3661897673
262,Вас исключили из команды!,hnh,203894305 183797452 2914050904
263,исключен из команды!,"~$\, ls",3138446319 902052752 295511018
264,Слишком много запросов!,}:,2579284141 2359226088 19243009
265,"Пожалуйста, не вводите специальные символы!",em,3429229368 2868844878 223129733
266,На данный момент у вас нет команды.,*en,3138770127 1815974005 409320468
267,Не удалось получить награды Руководства по Сезону,"n:, XYZ<~",1659195723 2197822061 243955721
268,Покупка Премиум Руководства по Сезону не удалась!,"<6r, 6*, 3""",3223997635 2163417423 2914640445
269,Превышен максимальный уровень использования или еще не время использовать!,NA,1305640106 762880238 2220130318
270,Не удалось использовать предмет!,"'|\, sw",4052702786 2177249682 2433585516
271,Очки опыта увеличены!,#_,3794876563 1190753377 931771234
272,"Текущий матч не будет рассчитан, в том числе по использованным предметам или полученным очкам. Выход не влечет за собой никаких штрафов.","v]:W, c-, g3jI",529864472 2828325257 308616796
273,Был онлайн на {0} и в общей сложности набрал {1} баллов.,"/?, U3",70837818 1236031890 2174250389
274,ч {1}м,,1650807481 346174901 2953135861
275,Обмен не удался. Нет доступных королевских сундуков!,"iu, \L5",398899400 3538460521 996706076
276,"Открытие Королевского сундука не удалось. Пожалуйста, попробуйте еще раз!",",W, 9x, h9",2557104206 391927669 1424990997
277,Запрос таблицы лидеров не удался,"uL, SwX",1693826306 2760604216 834031840
278,Награды за этот подарочный код уже получены!,"*X, 6v",4107387051 1476178626 270427095
279,Неправильный подарочный код или он уже получен.,XW,962972857 3974697943 3214764683
280,Не удалось получить награды за квест для новичков!,"'5, zZs|",3107495790 3888779499 2804220846
281,В вашу учетную запись вошли на другом клиенте,r],2828623385 1684129586 57847803
282,"Не удалось присоединиться к матчу. Возможно, битва закончилась. Пожалуйста, перезапустите.",_5,2023088552 904172833 1539528770
283,Вы не в бою.,">q, qMO",3547763355 543736716 2358755152
284,"Переброс героя не удался. Пожалуйста, попробуйте еще раз!","{""",1014613675 1845226397 3269069502
285,"Переброс сокровищ не удался. Пожалуйста, попробуйте еще раз!","YJ, X>, h\~",4048123889 3913296833 315378089
286,Необходимо получить его после разблокировки Руководства по Сезону.,rZW,3430985345 2874103198 971238039
287,"Пожалуйста, не покупайте повторно!","#B, Ud",3973583469 3962501843 4015152670
288,Недостаточно премиум-пропуска!,,2837926933 4066875049 3627588779
289,Соответствующий успех! Подключение к серверу...,"]n, h]O$X",1582180403 2837784861 2795961130
290,Только лидер может начать поиск матча!,"|g)h, ,B2, 7~o",2136618081 1007733144 1280843674
291,Только лидер может отменить поиск матча!,"4C, VL",3816249247 4167981787 48210313
292,Ошибка статуса открытия,"Z$, }A",2610406529 2627757236 2253598071
293,"Пожалуйста, повторите попытку позже!","?0lz, :%2",2801444232 3932366738 1813662326
294,"В матче, невозможно войти в руководство.","PV, ;), \.",3635344454 3210654430 3233406261
295,"В команде, не можем войти в руководство.","N&`b, h'",1888515305 4069444071 2921584456
296,"Бой, не могу войти в руководство.",I'sM5,513633725 163141140 3236859473
297,Уровень вознаграждения еще не достигнут!,"\d, &?, t)",3830500326 4272556743 3495597362
298,"Пожалуйста, сначала заберите награды.",,1124906081 496359371 3291558101
299,Использовать 1,,1813923861 2274723540 2559154257
300,Карту очков Пути Славы,"rEC, %k, x ",4003135314 3287465397 2013785869
301,чтобы получить 100 очков Пути Славы?,"U_, Vz""",3999476727 759630803 3294692565
302,Хотите ли вы использовать один,"""z, ^2",3788502887 107747629 2401927999
303,премиум-пасс,"UF, gP/",3048007680 4123790328 1724790909
304,для премиум-канала наград Руководства по Сезону?,">g&, $7",3998941115 3287195861 1191966720
305,Имя не может быть пустым!,"NzTr, WYo",1674938301 708219760 3757958175
306,"Имя слишком короткое. Пожалуйста, попробуйте еще раз!","NA, &2",3819774758 2599648762 4121382357
307,"Имя слишком длинное. Пожалуйста, попробуйте еще раз!",,3466432783 859191753 1145614282
308,"Ошибка имени. Пожалуйста, не вводите специальные символы!",".>, 5eg, 5<",3899183223 285159924 1069626068
309,"Сундуки с коллекциями автоматически открываются при их приобретении, и полученные предметы можно просмотреть в разделе Коллекция.",+|,3238757941 1313774719 4266403978
310,Вероятность открытия одного сундука:,"3a&, )g&",3234530224 2324835095 4072432222
311,При получении уже имеющегося предмета коллекции он будет конвертирован в [{1}] в зависимости от его редкости (можно использовать для обмена предметов в системе коллекций). Конкретный коэффициент конверсии:,"Q>_,  <",3421135084 88300784 2600818595
312,Каждые 100 розыгрышей гарантируют один,"4f, Nj",2280969011 3367461396 3996691751
313,Хотите ли вы разблокировать Премиум-пасс и перейти в Руководство по Сезону?,f\y,856052264 2836416322 3199375007
314,Премиум-пропуск разблокирован,"r/, fm, w[",134030435 1950637496 1330296020
315,Эффект звезды ветки:,aO4N,3471123116 899490375 2995175764
316,Достигните уровня,"xK.D, C/",1701645994 2782557701 3219161913
317,чтобы разблокировать эту ветку.,,40658407 2787251471 3564624286
318,ТЕКУЩИЙ УРОВЕНЬ,";T, Lf, Sd",696530056 1309883783 1359315269
319,ВЫСШИЙ УРОВЕНЬ,"MS, DVM",2192199465 860360021 3445447946
320,РАЗБЛОКИРОВАНО,KLH,3190898312 2383662886 1032575171
321,ВЕТКА-ЩИТ,"y&.57E, .""",3341015975 4153883476 316819074
322,ВЕТКА-РАНЫ,"_9~, l+",962743604 2108590782 4219532371
323,ВЕТКА-Дух,"05{,gu, UK, Jg",679784682 1908444385 415435457
324,ВЕТКА-ЯРОСТЬ,MG,3954714117 1732695738 1021519141
325,ВЕТКА-УСКОРЕНИЕ,r)3,162202775 2322425637 2616934049
326,В собственности:,"{X, Oq",1641536787 4009894544 4226645016
327,АТК,";?, ~`, |7, -,",2259658696 1621653569 2175488317
328,АТК ДМГ,"..T#, t/",3584503761 2874137578 2232155963
329,АТК ЦНТ,,4136637203 696648657 2946844385
330,Скорость атаки,"'U, 4=",1522794046 2515475049 908752740
331,Крит,!gg,304186690 2093202365 4096747725
332,Уворот,"nH}""V, 7A",319873706 1089054097 2692498495
333,Ульта,Dn,1008295191 2430847950 3539021717
334,ЩИТ,"NG, !l, UrhM",566033096 2238364259 2721928599
335,РАНЫ,"@@sm8, XG, F"", 9W",2191658359 2754929127 2164288635
336,Святой урон,40*x,3376307932 3065279625 1548697575
337,Дух,"Tv, `VMEZ, /~",903228424 1297147741 2143091123
338,СНИЖЕНИЕ ЭФФЕКТИВНОСТИ,"{:, esU-",673808155 2426353794 2150446448
339,ДЕЙСТВИЕ ДМГ,"K{7, /9R, 5u",3380360874 1923632245 2284798040
340,ЛЕЧЕНИЕ,"pg, <5",762380625 1592840991 2289353576
341,НАНЕСЕНО УРОНА,"{], YSL)",3318518351 109139422 3520225130
342,Базовый урон атаки,"%W, cR",586926141 926527639 1630887654
343,Количество базовых атак в секунду,"bw, G:, d,, >G",4064688982 1900182336 608950848
344,Каждое очко критической атаки равно 1,"i^, <a~kW",3089107869 2264089224 344686225
345,КРИТ. По умолчанию только,"vUi, J>",1857009568 1871061319 3962557430
346,может вызывать критические атаки с множителем,"4V#,  !",1308547577 2981875233 2920678834
347,по умолчанию,Oo,3654439541 2805108531 1644423132
348,Каждое очко уклонения соответствует 1,,3109962047 707573638 2630030983
349,уклонения. По умолчанию можно уклониться только от,"(+, |wn,e{5\FN",3044008985 3636151935 3282104788
350,"Ультимейт героя, который по умолчанию автоматически применяется, когда Энергия достигает 100. По умолчанию герой восстанавливает определенное количество энергии каждые",,1598045790 3963843929 1149116224
351,"с, а также восстанавливает энергию при потере",\M6,268569126 2480461592 1636990381
352,"Герой автоматически использует Ультимейт, когда Энергия полностью заряжена.","tp, &[ a, wZP=",2365591744 1632817351 1206218963
353,Каждые,"h"", :d",3038498672 4214779738 1571664777
354,"с получает урон от яда, равный текущему количеству стаков яда, и одновременно уменьшает их.","bk#}, Vd, #|7",3696823762 728278982 1500487408
355,"Каждый раз при получении урона (за исключением священного урона) каждый стак Щита уменьшает 1 урон, а количество стаков Щита также будет уменьшаться, компенсируя раны.","jl, W'I*",3089988929 3749969201 2887977598
356,"Каждый раз, когда наносится урон (за исключением священного урона), каждый стак раны увеличивает урон на 1, а количество Раны будет уменьшаться, компенсируя Щит.","IQ, Li",2158524116 2640326877 2630068492
357,Каждый заряд,"MJ, p*0, nT, sC, =&",2819709926 1889459190 2468174174
358,Заморозки,T_G,585165485 404781974 2526133185
359,снижает скорость атаки и скорость полета снаряда. Стаки заморозки будут автоматически уменьшаться каждые,DZ&h),2871062541 912531208 1168948765
360,с. Противодействует эффектам,,1967715547 1671398026 863361626
361,Ускорения,"9y, xN",2973277159 3496595 532456004
362,От последнего истинного урона невозможно уклониться или нанести критический удар.,,3462446066 3835801715 1703524335
363,После изучения навыков ветки духов на поле боя будет вызван небольшой дух с 50,@L,851186340 2268647394 4064277154
